
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
8.100000	6378408.872064	0.423290	-0.007854	122.566591	1.012291	4.712389	2699744.508550	-50092.694822	408.872064
8.200000	6378419.266301	0.423289	-0.007854	124.153269	1.012291	4.712389	2699738.013727	-50092.694820	419.266301
8.300000	6378429.795095	0.423288	-0.007854	125.741657	1.012291	4.712389	2699731.434835	-50092.694818	429.795095
8.400000	6378440.458592	0.423287	-0.007854	127.331752	1.012291	4.712389	2699724.771786	-50092.694816	440.458592
8.500000	6378451.256937	0.423286	-0.007854	128.923553	1.012291	4.712389	2699718.024489	-50092.694813	451.256937
8.600000	6378462.190275	0.423285	-0.007854	130.517056	1.012291	4.712389	2699711.192854	-50092.694811	462.190275
8.700000	6378473.258749	0.423284	-0.007854	132.112259	1.012291	4.712389	2699704.276792	-50092.694808	473.258749
8.800000	6378484.462504	0.423283	-0.007854	133.709160	1.012291	4.712389	2699697.276212	-50092.694806	484.462504
8.900000	6378495.801684	0.423282	-0.007854	135.307755	1.012291	4.712389	2699690.191026	-50092.694803	495.801684
9.000000	6378507.276432	0.423280	-0.007854	136.908044	1.012291	4.712389	2699683.021144	-50092.694801	507.276432
9.100000	6378518.886893	0.423279	-0.007854	138.510023	1.012291	4.712389	2699675.766476	-50092.694798	518.886893
9.200000	6378530.633209	0.423278	-0.007854	140.113690	1.012291	4.712389	2699668.426934	-50092.694795	530.633209
9.300000	6378542.515523	0.423277	-0.007854	141.719043	1.012291	4.712389	2699661.002428	-50092.694792	542.515523
9.400000	6378554.533980	0.423276	-0.007854	143.326079	1.012291	4.712389	2699653.492870	-50092.694789	554.533980
9.500000	6378566.688721	0.423275	-0.007854	144.934798	1.008838	4.712389	2699645.898171	-50092.694785	566.688721
9.600000	6378578.953299	0.423273	-0.007854	146.546993	1.005405	4.712389	2699638.175856	-50092.694782	578.953299
9.700000	6378591.327421	0.423272	-0.007854	148.162662	1.001991	4.712389	2699630.325127	-50092.694779	591.327421
9.800000	6378603.810791	0.423271	-0.007854	149.781802	0.998595	4.712389	2699622.345194	-50092.694775	603.810791
9.900000	6378616.403114	0.423270	-0.007854	151.404409	0.995218	4.712389	2699614.235268	-50092.694771	616.403114
10.000000	6378629.104092	0.423268	-0.007854	153.030481	0.991860	4.712389	2699605.994567	-50092.694767	629.104092
10.100000	6378641.913431	0.423267	-0.007854	154.660012	0.988519	4.712389	2699597.622314	-50092.694763	641.913431
10.200000	6378654.830830	0.423266	-0.007854	156.293001	0.985197	4.712389	2699589.117733	-50092.694759	654.830830
10.300000	6378667.855993	0.423264	-0.007854	157.929444	0.981893	4.712389	2699580.480057	-50092.694755	667.855993
10.400000	6378680.988619	0.423263	-0.007854	159.569337	0.978606	4.712390	2699571.708521	-50092.694750	680.988619
10.500000	6378694.228410	0.423262	-0.007854	161.212676	0.975337	4.712390	2699562.802365	-50092.694745	694.228410
10.600000	6378707.575066	0.423260	-0.007854	162.859458	0.972086	4.712390	2699553.760833	-50092.694740	707.575066
10.700000	6378721.028285	0.423259	-0.007854	164.509680	0.968852	4.712390	2699544.583173	-50092.694735	721.028285
10.800000	6378734.587766	0.423257	-0.007854	166.163336	0.965635	4.712390	2699535.268639	-50092.694730	734.587766
10.900000	6378748.253209	0.423256	-0.007854	167.820424	0.962435	4.712390	2699525.816488	-50092.694725	748.253209
11.000000	6378762.024309	0.423254	-0.007854	169.480940	0.959252	4.712390	2699516.225981	-50092.694719	762.024309
11.100000	6378775.900766	0.423253	-0.007854	171.144880	0.956085	4.712390	2699506.496384	-50092.694713	775.900766
11.200000	6378789.882275	0.423251	-0.007854	172.812240	0.952935	4.712390	2699496.626966	-50092.694707	789.882275
11.300000	6378803.968534	0.423250	-0.007854	174.483015	0.949802	4.712390	2699486.617002	-50092.694701	803.968534
11.400000	6378818.159238	0.423248	-0.007854	176.157203	0.946684	4.712390	2699476.465770	-50092.694695	818.159238
11.500000	6378832.454084	0.423246	-0.007854	177.834798	0.943583	4.712390	2699466.172551	-50092.694688	832.454084
11.600000	6378846.852766	0.423245	-0.007854	179.515798	0.940498	4.712390	2699455.736632	-50092.694681	846.852766
11.700000	6378861.354979	0.423243	-0.007854	181.200197	0.937429	4.712390	2699445.157303	-50092.694674	861.354979
11.800000	6378875.960419	0.423242	-0.007854	182.887991	0.934375	4.712390	2699434.433858	-50092.694667	875.960419
11.900000	6378890.668780	0.423240	-0.007854	184.579178	0.931337	4.712390	2699423.565596	-50092.694659	890.668780
12.000000	6378905.479756	0.423238	-0.007854	186.273751	0.928315	4.712390	2699412.551817	-50092.694651	905.479756
12.100000	6378920.393041	0.423236	-0.007854	187.971708	0.925307	4.712390	2699401.391828	-50092.694643	920.393041
12.200000	6378935.408328	0.423235	-0.007854	189.673044	0.922315	4.712390	2699390.084938	-50092.694635	935.408328
12.300000	6378950.525312	0.423233	-0.007854	191.377755	0.919339	4.712390	2699378.630461	-50092.694626	950.525312
