
时间（s）	 地心距（m）	 经度（rad）	 纬度（rad）	 速度（m/s）	 弹道倾角（rad）	 弹道偏角（rad）	  纵向距离（m）	 侧向距离（m）	 地面高度（m）
314.700000	6431019.039618	0.198348	0.017069	5264.002203	-0.044588	1.574754	1265063.544000	108866.082000	53019.039618
314.800000	6430995.576402	0.198430	0.017069	5264.015368	-0.044660	1.574756	1265586.540000	108866.082000	52995.576402
314.900000	6430972.074990	0.198511	0.017068	5264.028498	-0.044733	1.574757	1266103.158000	108859.704000	52972.074990
315.000000	6430948.535406	0.198593	0.017068	5264.041592	-0.044805	1.574759	1266626.154000	108859.704000	52948.535406
315.100000	6430924.957676	0.198675	0.017068	5264.054651	-0.044878	1.574761	1267149.150000	108859.704000	52924.957676
315.200000	6430901.341825	0.198757	0.017067	5264.067673	-0.044950	1.574762	1267672.146000	108853.326000	52901.341825
315.300000	6430877.687877	0.198839	0.017067	5264.080658	-0.045022	1.574764	1268195.142000	108853.326000	52877.687877
315.400000	6430853.995859	0.198920	0.017067	5264.093606	-0.045094	1.574766	1268711.760000	108853.326000	52853.995859
315.500000	6430830.265796	0.199002	0.017066	5264.106515	-0.045167	1.574767	1269234.756000	108846.948000	52830.265796
315.600000	6430806.497714	0.199084	0.017066	5264.119385	-0.045239	1.574769	1269757.752000	108846.948000	52806.497714
315.700000	6430782.691640	0.199166	0.017066	5264.132215	-0.045311	1.574771	1270280.748000	108846.948000	52782.691640
315.800000	6430758.847598	0.199248	0.017065	5264.145006	-0.045383	1.574772	1270803.744000	108840.570000	52758.847598
315.900000	6430734.965615	0.199329	0.017065	5264.157755	-0.045455	1.574774	1271320.362000	108840.570000	52734.965615
316.000000	6430711.045717	0.199411	0.017065	5264.170464	-0.045527	1.574776	1271843.358000	108840.570000	52711.045717
316.100000	6430687.087931	0.199493	0.017064	5264.183130	-0.045599	1.574777	1272366.354000	108834.192000	52687.087931
316.200000	6430663.092284	0.199575	0.017064	5264.195754	-0.045670	1.574779	1272889.350000	108834.192000	52663.092284
316.300000	6430639.058802	0.199656	0.017064	5264.208334	-0.045742	1.574781	1273405.968000	108834.192000	52639.058802
316.400000	6430614.987512	0.199738	0.017063	5264.220871	-0.045814	1.574782	1273928.964000	108827.814000	52614.987512
316.500000	6430590.878440	0.199820	0.017063	5264.233363	-0.045886	1.574784	1274451.960000	108827.814000	52590.878440
316.600000	6430566.731615	0.199902	0.017063	5264.245810	-0.045957	1.574786	1274974.956000	108827.814000	52566.731615
316.700000	6430542.547064	0.199984	0.017062	5264.258211	-0.046029	1.574787	1275497.952000	108821.436000	52542.547064
316.800000	6430518.324813	0.200065	0.017062	5264.270566	-0.046100	1.574789	1276014.570000	108821.436000	52518.324813
316.900000	6430494.064891	0.200147	0.017062	5264.282873	-0.046172	1.574790	1276537.566000	108821.436000	52494.064891
317.000000	6430469.767325	0.200229	0.017061	5264.295133	-0.046243	1.574792	1277060.562000	108815.058000	52469.767325
317.100000	6430445.432143	0.200311	0.017061	5264.307344	-0.046315	1.574794	1277583.558000	108815.058000	52445.432143
317.200000	6430421.059373	0.200393	0.017061	5264.319507	-0.046386	1.574795	1278106.554000	108815.058000	52421.059373
317.300000	6430396.649043	0.200474	0.017060	5264.331619	-0.046457	1.574797	1278623.172000	108808.680000	52396.649043
317.400000	6430372.201182	0.200556	0.017060	5264.343682	-0.046528	1.574799	1279146.168000	108808.680000	52372.201182
317.500000	6430347.715818	0.200638	0.017060	5264.355693	-0.046600	1.574800	1279669.164000	108808.680000	52347.715818
317.600000	6430323.192980	0.200720	0.017059	5264.367653	-0.046671	1.574802	1280192.160000	108802.302000	52323.192980
317.700000	6430298.632696	0.200801	0.017059	5264.379560	-0.046742	1.574804	1280708.778000	108802.302000	52298.632696
317.800000	6430274.034995	0.200883	0.017059	5264.391414	-0.046813	1.574805	1281231.774000	108802.302000	52274.034995
317.900000	6430249.399907	0.200965	0.017059	5264.403214	-0.046884	1.574807	1281754.770000	108802.302000	52249.399907
318.000000	6430224.727460	0.201047	0.017058	5264.414960	-0.046955	1.574809	1282277.766000	108795.924000	52224.727460
318.100000	6430200.017684	0.201129	0.017058	5264.426650	-0.047025	1.574810	1282800.762000	108795.924000	52200.017684
318.200000	6430175.270609	0.201210	0.017058	5264.438285	-0.047096	1.574812	1283317.380000	108795.924000	52175.270609
318.300000	6430150.486264	0.201292	0.017057	5264.449863	-0.047167	1.574814	1283840.376000	108789.546000	52150.486264
318.400000	6430125.664679	0.201374	0.017057	5264.461384	-0.047238	1.574815	1284363.372000	108789.546000	52125.664679
318.500000	6430100.805883	0.201456	0.017057	5264.472847	-0.047308	1.574817	1284886.368000	108789.546000	52100.805883
318.600000	6430075.909909	0.201538	0.017056	5264.484251	-0.047379	1.574819	1285409.364000	108783.168000	52075.909909
318.700000	6430050.976784	0.201619	0.017056	5264.495596	-0.047449	1.574820	1285925.982000	108783.168000	52050.976784
